state,District,MPCE_URP,MPCE_MRP,state_1
6,19,34068.5,9104.56,HR
6,19,4339.33,3632.74,HR
6,19,3446.83,2790.21,HR
6,19,5882.0,5224.4,HR
6,19,3394.2,2762.72,HR
6,19,4307.25,3712.35,HR
6,19,3103.83,2120.71,HR
6,19,2743.4,2903.54,HR
6,19,7386.6,7665.92,HR
6,19,5129.6,6188.33,HR
6,19,3192.5,2931.68,HR
6,19,1999.5,2022.58,HR
6,19,3501.0,3332.1,HR
6,19,3373.0,3103.68,HR
6,19,981.57,988.26,HR
6,19,809.86,830.97,HR
6,19,3336.6,2985.81,HR
6,19,3178.5,3077.75,HR
6,19,2081.0,1895.79,HR
6,19,2092.67,1850.29,HR
6,19,2115.0,1925.41,HR
6,19,2305.67,2262.15,HR
6,19,594.38,632.34,HR
6,19,827.71,721.59,HR
6,20,4366.0,5309.15,HR
6,20,3829.0,4380.1,HR
6,20,1070.4,3013.14,HR
6,20,1091.44,1246.41,HR
6,20,1023.17,1183.45,HR
6,20,1166.25,1387.04,HR
6,20,893.63,954.72,HR
6,20,797.33,928.38,HR
6,19,5966.8,5407.24,HR
6,19,5979.67,5477.93,HR
6,19,5067.8,4492.28,HR
6,19,11513.5,7438.64,HR
6,19,2104.5,1996.61,HR
6,19,1916.6,1811.89,HR
6,19,2439.0,2221.23,HR
6,19,5215.0,5259.66,HR
6,19,5960.17,6238.25,HR
6,19,5352.67,7396.14,HR
6,19,7597.25,8908.83,HR
6,19,8757.33,9585.05,HR
6,19,5852.0,5692.6,HR
6,19,5547.17,6598.49,HR
6,19,9187.25,10936.8,HR
6,19,8563.0,8623.55,HR
6,19,3790.0,3799.25,HR
6,19,4088.0,4788.89,HR
6,19,2101.75,1966.92,HR
6,19,1146.2,1218.01,HR
6,19,2039.71,2108.25,HR
6,19,1559.0,1612.93,HR
6,19,934.4,994.24,HR
6,19,875.2,870.54,HR
6,18,13971.67,15196.87,HR
6,18,6819.0,8471.05,HR
6,18,3449.0,3599.0,HR
6,18,2735.0,2904.86,HR
6,18,3557.0,3605.63,HR
6,18,3855.0,3624.86,HR
6,18,1145.33,1297.39,HR
6,18,924.57,841.57,HR
6,17,3514.5,4729.88,HR
6,17,5179.5,7060.05,HR
6,17,6723.0,13387.79,HR
6,17,5758.0,6577.86,HR
6,17,3290.67,4424.18,HR
6,17,3042.8,3574.72,HR
6,17,2297.5,3585.25,HR
6,17,2448.25,3822.23,HR
6,13,3066.4,3174.26,HR
6,13,2499.0,2370.34,HR
6,13,1634.0,1826.81,HR
6,13,1495.25,1935.01,HR
6,13,945.67,1123.06,HR
6,13,979.5,1348.95,HR
6,13,869.5,983.24,HR
6,13,667.4,778.91,HR
6,14,3533.8,3623.92,HR
6,14,3569.0,3683.16,HR
6,14,2645.8,2459.36,HR
6,14,6322.0,6905.56,HR
6,14,2418.0,2591.63,HR
6,14,3237.4,3462.82,HR
6,14,2380.6,2593.89,HR
6,14,2737.5,2624.06,HR
